platform,task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
claude-code,refactor-no-behavior-change,context-mode,3,0,0,47393,50779.00,696.67,45603.33,0.00,96999.00,97079.00,96980.50,97137.50,96962.00,97276.00,0.29411333,0.25389500,0.01741667,0.27071000,0.27131167,0.27042250,0.27190000,0.27013500,0.27309000,-57714.00,-46814.67,-146.91,-110.51,-0.14503500,-0.11748667,-115.40,-88.66
claude-code,refactor-no-behavior-change,rtk,3,0,0,42716,22146.67,728.33,18788.33,0.00,41793.00,41663.33,41590.50,41801.00,41388.00,41809.00,0.13833583,0.11073333,0.01820833,0.13007000,0.12894167,0.12819250,0.13025500,0.12631500,0.13044000,-2524.00,8601.00,-6.42,9.57,-0.00476500,0.02488333,-3.79,10.11
claude-code,refactor-no-behavior-change,caveman,3,1,0,60579,39312.00,918.33,34522.00,0.00,87887.00,74752.33,66569.00,89503.00,45251.00,91119.00,0.23677933,0.19656000,0.02295833,0.26111500,0.21951833,0.19851750,0.26131750,0.13592000,0.26152000,-18294.00,-24488.00,-25.12,-55.27,-0.04742500,-0.06569333,-22.15,-47.20
claude-code,code-review-diagnosis,baseline,3,3,0,81503,41081.67,2038.00,37774.67,0.00,64191.00,80894.33,40779.50,112657.50,17368.00,161124.00,0.27524567,0.20540833,0.05095000,0.21096000,0.25635833,0.14412000,0.34589750,0.07728000,0.48083500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,code-review-diagnosis,tokenwarden,3,3,0,61434,16854.00,1153.67,13537.00,0.00,32014.00,31544.67,31256.00,32068.00,30498.00,32122.00,0.11988017,0.08427000,0.02884167,0.11814000,0.11311167,0.11021500,0.11852250,0.10229000,0.11890500,32177.00,49349.67,50.13,18.20,0.09282000,0.14324667,44.00,28.97
claude-code,code-review-diagnosis,context-mode,3,3,0,96158,42879.33,1559.33,38009.67,0.00,74825.00,82448.33,73473.50,87611.50,72122.00,100398.00,0.27238483,0.21439667,0.03898333,0.24269000,0.25338000,0.22874750,0.27266750,0.21480500,0.30264500,-10634.00,-1554.00,-16.57,-146.46,-0.03173000,0.00297833,-15.04,-83.78
claude-code,code-review-diagnosis,rtk,3,3,0,75879,22716.00,1686.67,19452.33,0.00,44195.00,43855.00,38742.00,49138.00,33289.00,54081.00,0.16547283,0.11358000,0.04216667,0.15135500,0.15574667,0.14342500,0.16587250,0.13549500,0.18039000,19996.00,37039.33,31.15,-33.63,0.05960500,0.10061167,28.25,-11.12
claude-code,code-review-diagnosis,caveman,3,3,0,50532,29852.00,1247.33,25942.33,0.00,44883.00,57041.67,39284.50,68719.50,33686.00,92556.00,0.19341450,0.14926000,0.03118333,0.13672500,0.18044333,0.12618250,0.21284500,0.11564000,0.28896500,-27515.00,23852.67,-44.19,-41.17,-0.05944500,0.07591500,-36.98,-12.65
claude-code,docs-from-code,baseline,3,1,0,32873,16239.33,658.67,13525.67,0.00,27008.00,30423.67,27007.00,32132.50,27006.00,37257.00,0.10442617,0.08119667,0.01646667,0.08826000,0.09766333,0.08816750,0.10245750,0.08807500,0.11665500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,docs-from-code,tokenwarden,3,0,0,46908,18640.33,844.33,15250.33,0.00,30992.00,34735.00,30546.00,37052.50,30100.00,43113.00,0.12193517,0.09320167,0.02110833,0.10739000,0.11431000,0.10261750,0.12254250,0.09784500,0.13769500,-3984.00,-4311.33,-14.75,-18.39,-0.01913000,-0.01664667,-21.67,-20.63
claude-code,docs-from-code,context-mode,3,0,0,63856,54895.67,921.33,50029.00,0.00,97331.00,105846.00,84378.00,123056.50,71425.00,148782.00,0.32252617,0.27447833,0.02303333,0.27632000,0.29751167,0.24161000,0.34281750,0.20690000,0.40931500,-70325.00,-75422.33,-260.41,-267.67,-0.18824500,-0.19984833,-213.73,-218.28
claude-code,docs-from-code,rtk,3,0,0,61548,36718.33,1263.00,32831.00,0.00,76233.00,70812.33,65467.00,78868.00,54701.00,81503.00,0.23158217,0.18359167,0.03157500,0.22542500,0.21516667,0.20203000,0.23343250,0.17863500,0.24144000,-49225.00,-40388.67,-182.26,-143.63,-0.13716500,-0.11750333,-155.41,-127.56
claude-code,docs-from-code,caveman,3,0,0,44325,31652.00,988.33,27696.33,0.00,45184.00,60336.67,38787.50,74309.50,32391.00,103435.00,0.19681650,0.15826000,0.02470833,0.14082500,0.18296833,0.12270250,0.22216250,0.10458000,0.30350000,-18176.00,-29913.00,-67.30,-112.42,-0.05256500,-0.08530500,-59.56,-97.93
